report_id,working_day,crew_size_true,manhours_true
1,False,0,0.0
2,True,27,201.3
3,True,24,211.4
4,True,20,136.8
5,False,0,0.0
6,True,22,176.0
7,True,25,190.6
8,True,20,172.0
9,True,22,191.4
10,True,25,188.8
11,True,25,167.8
12,False,0,0.0
13,True,23,185.3
14,True,22,182.0
15,True,21,168.9
16,True,22,179.4
17,True,25,169.2
18,True,19,168.3
19,False,0,0.0
20,True,27,248.2
21,True,24,200.9
22,True,19,152.4
23,True,24,228.6
24,True,20,163.2
25,True,20,156.1
26,False,0,0.0
27,True,21,196.4
28,False,0,0.0
29,False,0,0.0
30,False,0,0.0
31,True,19,155.0
32,True,20,158.9
33,False,0,0.0
34,True,26,172.8
35,True,24,148.0
36,True,19,154.4
37,True,22,170.8
38,True,25,216.4
39,True,22,183.4
40,False,0,0.0
41,True,25,215.1
42,True,23,193.4
43,True,25,207.2
44,True,25,216.4
45,True,19,142.4
46,True,26,225.8
47,False,0,0.0
48,True,22,188.9
49,True,21,179.2
50,True,24,189.9
51,True,24,157.6
52,True,22,141.9
53,True,26,230.3
54,False,0,0.0
55,True,20,186.7
56,True,26,218.5
57,True,25,203.8
58,True,21,188.9
59,True,25,198.8
60,False,0,0.0
61,False,0,0.0
62,True,24,194.7
63,True,26,254.1
64,True,26,237.8
65,True,26,236.1
66,True,23,202.9
67,True,19,131.0
68,False,0,0.0
69,True,20,171.3
70,True,21,164.7
71,True,24,206.1
72,True,24,213.6
73,True,25,260.0
74,True,27,244.0
75,False,0,0.0
76,True,21,157.9
77,True,23,180.6
78,True,23,190.6
79,True,21,197.8
80,True,25,179.8
81,True,27,282.3
82,False,0,0.0
83,True,24,155.9
84,True,20,159.1
85,True,22,202.4
86,True,22,182.1
87,True,24,189.6
88,True,21,127.7
89,False,0,0.0
90,True,25,185.6
91,True,24,191.1
92,True,26,232.6
93,True,22,187.9
94,True,23,196.5
95,True,20,171.6
96,False,0,0.0
97,True,24,209.2
98,True,20,167.6
99,True,22,182.3
100,True,19,154.8
101,True,26,222.6
102,True,24,200.0
103,False,0,0.0
104,True,27,273.5
105,True,19,126.8
106,True,26,229.6
107,True,25,218.8
108,True,27,212.7
109,True,21,173.6
110,False,0,0.0
111,True,26,199.4
112,True,22,137.9
113,True,22,179.6
114,True,24,199.1
115,True,27,206.8
116,True,24,182.7
117,False,0,0.0
118,True,23,180.0
119,True,25,205.1
120,True,26,191.0
121,True,23,177.6
122,True,21,184.1
123,True,22,218.9
124,False,0,0.0
125,False,0,0.0
126,False,0,0.0
127,True,27,197.8
128,True,27,222.6
129,True,26,229.7
130,True,24,214.5
131,False,0,0.0
132,True,25,214.9
133,True,25,190.8
134,True,22,176.3
135,True,21,166.7
136,True,26,232.2
137,True,22,180.8
138,False,0,0.0
139,True,26,202.2
140,True,21,201.1
141,True,27,205.0
142,True,23,184.7
143,True,24,180.0
144,True,26,203.9
145,False,0,0.0
146,True,26,211.5
147,True,25,214.6
148,True,26,223.5
149,True,27,224.3
150,True,24,184.7
151,True,26,221.9
152,False,0,0.0
153,True,24,221.8
154,True,19,148.8
155,True,24,177.1
156,True,27,247.6
157,False,0,0.0
158,True,24,182.9
159,False,0,0.0
160,True,20,182.9
161,True,27,206.2
162,True,21,167.1
163,True,27,246.9
164,True,23,204.6
165,True,27,223.2
166,False,0,0.0
167,True,24,178.6
168,True,23,212.5
169,True,19,176.2
170,True,21,148.7
171,True,27,230.0
172,True,24,196.8
173,False,0,0.0
174,True,20,144.3
175,True,25,192.0
176,True,19,170.3
177,True,19,133.5
178,True,22,174.9
179,True,24,189.4
180,False,0,0.0
181,True,24,214.9
182,False,0,0.0
183,True,40,320.4
184,True,34,300.3
185,True,39,406.1
186,False,0,0.0
187,True,37,285.8
188,True,41,285.3
189,True,34,291.5
190,True,40,324.3
191,True,38,344.0
192,True,34,249.1
193,False,0,0.0
194,True,36,345.1
195,True,35,304.2
196,True,35,304.9
197,True,37,312.8
198,True,37,276.8
199,True,36,303.8
200,False,0,0.0
201,True,39,352.4
202,True,36,293.6
203,True,35,262.3
204,True,37,354.8
205,True,41,314.3
206,True,40,292.2
207,False,0,0.0
208,True,35,270.4
209,False,0,0.0
210,False,0,0.0
211,False,0,0.0
212,True,33,281.7
213,True,37,337.6
214,False,0,0.0
215,True,36,263.2
216,True,36,320.2
217,True,41,366.5
218,True,40,386.4
219,True,37,300.6
220,True,41,386.9
221,False,0,0.0
222,True,34,309.0
223,True,35,320.5
224,True,41,370.5
225,True,36,301.6
226,True,33,320.6
227,True,37,245.7
228,False,0,0.0
